company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
190510,2017-06-22,5,1,2.2,0.2
190510,2017-06-23,3,1,2.0,0.3333333333333333
000660,2017-06-25,243,45,2.0041152263374484,0.18518518518518517
000660,2017-06-26,426,132,2.07981220657277,0.30985915492957744
000660,2017-06-27,493,163,2.133874239350913,0.3306288032454361
000660,2017-06-28,592,132,1.787162162162162,0.22297297297297297
000660,2017-06-29,331,69,1.8700906344410877,0.2084592145015106
000660,2017-06-30,271,71,1.970479704797048,0.26199261992619927
000660,2017-07-01,86,29,2.1627906976744184,0.3372093023255814
005380,2017-06-25,11,1,1.4545454545454546,0.09090909090909091
005380,2017-06-26,15,4,2.066666666666667,0.26666666666666666
005380,2017-06-27,48,8,1.3958333333333333,0.16666666666666666
005380,2017-06-28,18,4,1.5555555555555556,0.2222222222222222
005380,2017-06-29,34,5,1.4411764705882353,0.14705882352941177
005380,2017-06-30,51,7,1.4705882352941178,0.13725490196078433
005380,2017-07-01,60,6,1.5166666666666666,0.1
005930,2017-06-25,68,8,1.6764705882352942,0.11764705882352941
005930,2017-06-26,153,33,1.973856209150327,0.21568627450980393
005930,2017-06-27,84,9,1.7976190476190477,0.10714285714285714
005930,2017-06-28,82,20,1.951219512195122,0.24390243902439024
005930,2017-06-29,81,12,1.7654320987654322,0.14814814814814814
005930,2017-06-30,133,17,1.7744360902255638,0.12781954887218044
005930,2017-07-01,44,6,1.8636363636363635,0.13636363636363635
033100,2017-06-25,18,5,2.1666666666666665,0.2777777777777778
033100,2017-06-26,21,5,1.8571428571428572,0.23809523809523808
033100,2017-06-27,7,4,2.2857142857142856,0.5714285714285714
033100,2017-06-28,7,0,1.7142857142857142,0.0
033100,2017-06-29,11,3,2.4545454545454546,0.2727272727272727
033100,2017-06-30,32,9,2.125,0.28125
033100,2017-07-01,30,8,2.1333333333333333,0.26666666666666666
080220,2017-06-25,1,0,2.0,0.0
080220,2017-06-27,6,2,2.0,0.3333333333333333
080220,2017-06-28,2,0,2.0,0.0
080220,2017-06-29,5,1,2.0,0.2
080220,2017-06-30,4,0,1.25,0.0
080220,2017-07-01,1,1,3.0,1.0
105560,2017-06-25,1,0,2.0,0.0
105560,2017-06-26,2,0,1.5,0.0
105560,2017-06-27,2,1,2.0,0.5
105560,2017-06-28,7,2,2.142857142857143,0.2857142857142857
105560,2017-06-29,5,2,2.2,0.4
105560,2017-06-30,2,0,1.0,0.0
190510,2017-06-25,2,1,2.5,0.5
190510,2017-06-27,1,0,2.0,0.0
190510,2017-06-29,3,0,1.0,0.0
190510,2017-06-30,2,0,1.0,0.0
000660,2017-07-02,55,11,1.8909090909090909,0.2
000660,2017-07-03,301,76,1.8803986710963456,0.25249169435215946
000660,2017-07-04,209,50,1.8229665071770336,0.23923444976076555
000660,2017-07-05,310,89,2.0258064516129033,0.2870967741935484
000660,2017-07-06,241,70,2.016597510373444,0.29045643153526973
000660,2017-07-07,223,63,2.004484304932735,0.2825112107623318
000660,2017-07-08,62,13,2.0483870967741935,0.20967741935483872
005380,2017-07-02,66,9,1.5151515151515151,0.13636363636363635
005380,2017-07-03,38,10,1.763157894736842,0.2631578947368421
005380,2017-07-04,84,16,1.5833333333333333,0.19047619047619047
005380,2017-07-05,78,13,1.564102564102564,0.16666666666666666
005380,2017-07-06,44,5,1.6590909090909092,0.11363636363636363
005380,2017-07-07,137,28,1.7518248175182483,0.20437956204379562
005380,2017-07-08,32,5,1.34375,0.15625
005930,2017-07-02,67,6,1.9104477611940298,0.08955223880597014
005930,2017-07-03,74,16,1.945945945945946,0.21621621621621623
