company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
033100,2017-06-28,7,1,2.0,0.14285714285714285
033100,2017-06-29,11,2,2.090909090909091,0.18181818181818182
033100,2017-06-30,32,12,1.90625,0.375
033100,2017-07-01,30,6,1.8333333333333333,0.2
080220,2017-06-25,1,0,2.0,0.0
080220,2017-06-27,6,3,2.5,0.5
080220,2017-06-28,2,0,1.0,0.0
080220,2017-06-29,5,1,2.0,0.2
080220,2017-06-30,4,0,1.5,0.0
080220,2017-07-01,1,1,3.0,1.0
105560,2017-06-25,1,0,2.0,0.0
105560,2017-06-26,2,1,2.5,0.5
105560,2017-06-27,2,1,2.5,0.5
105560,2017-06-28,7,4,2.2857142857142856,0.5714285714285714
105560,2017-06-29,5,1,1.8,0.2
105560,2017-06-30,2,0,1.5,0.0
190510,2017-06-25,2,1,2.5,0.5
190510,2017-06-27,1,0,2.0,0.0
190510,2017-06-29,3,0,1.0,0.0
190510,2017-06-30,2,0,1.0,0.0
000660,2017-07-02,55,12,1.6181818181818182,0.21818181818181817
000660,2017-07-03,301,71,1.6179401993355482,0.23588039867109634
000660,2017-07-04,209,50,1.6794258373205742,0.23923444976076555
000660,2017-07-05,310,80,1.793548387096774,0.25806451612903225
000660,2017-07-06,241,51,1.6224066390041494,0.21161825726141079
000660,2017-07-07,223,58,1.7130044843049328,0.2600896860986547
000660,2017-07-08,62,11,1.7419354838709677,0.1774193548387097
005380,2017-07-02,66,11,1.2424242424242424,0.16666666666666666
005380,2017-07-03,38,9,1.6842105263157894,0.23684210526315788
005380,2017-07-04,84,15,1.2380952380952381,0.17857142857142858
005380,2017-07-05,78,15,1.3846153846153846,0.19230769230769232
005380,2017-07-06,44,6,1.6363636363636365,0.13636363636363635
005380,2017-07-07,137,33,1.7372262773722629,0.24087591240875914
005380,2017-07-08,32,5,0.96875,0.15625
005930,2017-07-02,67,3,1.6567164179104477,0.04477611940298507
005930,2017-07-03,74,15,1.5405405405405406,0.20270270270270271
005930,2017-07-04,79,5,1.6962025316455696,0.06329113924050633
005930,2017-07-05,128,26,1.53125,0.203125
005930,2017-07-06,131,26,1.6106870229007633,0.1984732824427481
005930,2017-07-07,207,49,1.8695652173913044,0.23671497584541062
005930,2017-07-08,74,10,1.4594594594594594,0.13513513513513514
033100,2017-07-02,20,3,1.6,0.15
033100,2017-07-03,39,8,1.9487179487179487,0.20512820512820512
033100,2017-07-04,57,10,1.5087719298245614,0.17543859649122806
033100,2017-07-05,34,5,1.4411764705882353,0.14705882352941177
033100,2017-07-06,45,7,1.5333333333333334,0.15555555555555556
033100,2017-07-07,70,14,1.7142857142857142,0.2
033100,2017-07-08,5,0,0.8,0.0
080220,2017-07-03,1,0,0.0,0.0
080220,2017-07-04,4,0,1.5,0.0
080220,2017-07-05,3,0,0.3333333333333333,0.0
080220,2017-07-06,1,0,0.0,0.0
080220,2017-07-07,3,0,1.3333333333333333,0.0
080220,2017-07-08,1,0,2.0,0.0
105560,2017-07-03,2,0,1.0,0.0
105560,2017-07-04,5,0,2.0,0.0
105560,2017-07-05,4,1,1.25,0.25
105560,2017-07-06,10,2,2.1,0.2
105560,2017-07-07,14,3,1.6428571428571428,0.21428571428571427
190510,2017-07-03,6,0,0.5,0.0
190510,2017-07-04,4,0,2.0,0.0
190510,2017-07-05,1,0,0.0,0.0
190510,2017-07-06,2,1,2.5,0.5
190510,2017-07-08,1,0,2.0,0.0
000660,2017-07-09,119,20,1.4705882352941178,0.16806722689075632
000660,2017-07-10,265,55,1.5849056603773586,0.20754716981132076
000660,2017-07-11,303,79,1.646864686468647,0.2607260726072607
000660,2017-07-12,192,66,1.9739583333333333,0.34375
000660,2017-07-13,525,176,1.9523809523809523,0.3352380952380952
000660,2017-07-14,240,67,1.8125,0.2791666666666667
000660,2017-07-15,107,10,1.5327102803738317,0.09345794392523364
005380,2017-07-09,37,3,1.1891891891891893,0.08108108108108109
005380,2017-07-10,91,10,1.2197802197802199,0.10989010989010989
005380,2017-07-11,74,13,1.472972972972973,0.17567567567567569
