date,close,net_profit
24/10/2014,39400,1.79364E+11
27/10/2014,41050,1.79364E+11
28/10/2014,41150,1.79364E+11
29/10/2014,42350,1.79364E+11
30/10/2014,43000,1.79364E+11
31/10/2014,42000,1.79364E+11
03/11/2014,41800,1.79364E+11
04/11/2014,41250,1.79364E+11
05/11/2014,41700,1.79364E+11
06/11/2014,41600,1.79364E+11
07/11/2014,40550,1.79364E+11
10/11/2014,40200,1.79364E+11
11/11/2014,40400,1.79364E+11
12/11/2014,40550,1.79364E+11
13/11/2014,40600,1.79364E+11
14/11/2014,39300,1.79364E+11
17/11/2014,39750,1.79364E+11
18/11/2014,39350,1.79364E+11
19/11/2014,40000,1.79364E+11
20/11/2014,39750,1.79364E+11
21/11/2014,39400,1.79364E+11
24/11/2014,39850,1.79364E+11
25/11/2014,39950,1.79364E+11
26/11/2014,39850,1.79364E+11
27/11/2014,39200,1.79364E+11
28/11/2014,38900,1.79364E+11
01/12/2014,38400,1.79364E+11
02/12/2014,38300,1.79364E+11
03/12/2014,38400,1.79364E+11
04/12/2014,39000,1.79364E+11
05/12/2014,39000,1.79364E+11
08/12/2014,39350,1.79364E+11
09/12/2014,39050,1.79364E+11
10/12/2014,38300,1.79364E+11
11/12/2014,38050,1.79364E+11
12/12/2014,38450,1.79364E+11
15/12/2014,37600,1.79364E+11
16/12/2014,37800,1.79364E+11
17/12/2014,37600,1.79364E+11
18/12/2014,37950,1.79364E+11
19/12/2014,38200,1.79364E+11
22/12/2014,37800,1.79364E+11
23/12/2014,37600,1.79364E+11
24/12/2014,38800,1.79364E+11
26/12/2014,38800,1.79364E+11
29/12/2014,37350,1.79364E+11
30/12/2014,36150,1.79364E+11
02/01/2015,36000,6.04965E+11
05/01/2015,35400,6.04965E+11
06/01/2015,35300,6.04965E+11
07/01/2015,35000,6.04965E+11
08/01/2015,36600,6.04965E+11
09/01/2015,36850,6.04965E+11
12/01/2015,35750,6.04965E+11
13/01/2015,35900,6.04965E+11
14/01/2015,36700,6.04965E+11
15/01/2015,36550,6.04965E+11
16/01/2015,36000,6.04965E+11
19/01/2015,36500,6.04965E+11
20/01/2015,36800,6.04965E+11
21/01/2015,37250,6.04965E+11
22/01/2015,37450,6.04965E+11
23/01/2015,37450,6.04965E+11
26/01/2015,38200,6.04965E+11
27/01/2015,37800,6.04965E+11
28/01/2015,36500,6.04965E+11
29/01/2015,37050,6.04965E+11
30/01/2015,36800,6.04965E+11
02/02/2015,37200,6.04965E+11
03/02/2015,37950,6.04965E+11
04/02/2015,38100,6.04965E+11
05/02/2015,36350,6.04965E+11
06/02/2015,37500,6.04965E+11
09/02/2015,36750,6.04965E+11
10/02/2015,36950,6.04965E+11
11/02/2015,37050,6.04965E+11
12/02/2015,36800,6.04965E+11
13/02/2015,37650,6.04965E+11
16/02/2015,37550,6.04965E+11
17/02/2015,38200,6.04965E+11
23/02/2015,38650,6.04965E+11
24/02/2015,38750,6.04965E+11
25/02/2015,39200,6.04965E+11
26/02/2015,39700,6.04965E+11
27/02/2015,39000,6.04965E+11
02/03/2015,37600,6.04965E+11
03/03/2015,37500,6.04965E+11
04/03/2015,37850,6.04965E+11
05/03/2015,37400,6.04965E+11
06/03/2015,36700,6.04965E+11
09/03/2015,36800,6.04965E+11
10/03/2015,36800,6.04965E+11
11/03/2015,36650,6.04965E+11
12/03/2015,38150,6.04965E+11
13/03/2015,38200,6.04965E+11
16/03/2015,38050,6.04965E+11
17/03/2015,38800,6.04965E+11
18/03/2015,38850,6.04965E+11
19/03/2015,39650,6.04965E+11
20/03/2015,40000,6.04965E+11
23/03/2015,39900,6.04965E+11
24/03/2015,38900,6.04965E+11
25/03/2015,38050,6.04965E+11
26/03/2015,39150,6.04965E+11
27/03/2015,38300,6.04965E+11
30/03/2015,38850,6.04965E+11
31/03/2015,39300,6.04965E+11
01/04/2015,38600,3.39634E+11
02/04/2015,38450,3.39634E+11
03/04/2015,39000,3.39634E+11
06/04/2015,38400,3.39634E+11
07/04/2015,37850,3.39634E+11
08/04/2015,37750,3.39634E+11
09/04/2015,36800,3.39634E+11
10/04/2015,37750,3.39634E+11
13/04/2015,38300,3.39634E+11
14/04/2015,40500,3.39634E+11
15/04/2015,40000,3.39634E+11
16/04/2015,40300,3.39634E+11
17/04/2015,40600,3.39634E+11
20/04/2015,40800,3.39634E+11
21/04/2015,40600,3.39634E+11
22/04/2015,39800,3.39634E+11
23/04/2015,41000,3.39634E+11
24/04/2015,41650,3.39634E+11
27/04/2015,40300,3.39634E+11
28/04/2015,40550,3.39634E+11
29/04/2015,41000,3.39634E+11
30/04/2015,40950,3.39634E+11
04/05/2015,41700,3.39634E+11
06/05/2015,41900,3.39634E+11
07/05/2015,41400,3.39634E+11
08/05/2015,40800,3.39634E+11
11/05/2015,40600,3.39634E+11
12/05/2015,41150,3.39634E+11
13/05/2015,41500,3.39634E+11
14/05/2015,41100,3.39634E+11
15/05/2015,40800,3.39634E+11
18/05/2015,40450,3.39634E+11
19/05/2015,40850,3.39634E+11
20/05/2015,41000,3.39634E+11
21/05/2015,39750,3.39634E+11
22/05/2015,41000,3.39634E+11
26/05/2015,40100,3.39634E+11
27/05/2015,39200,3.39634E+11
28/05/2015,39550,3.39634E+11
29/05/2015,40250,3.39634E+11
01/06/2015,39450,3.39634E+11
02/06/2015,39850,3.39634E+11
03/06/2015,39750,3.39634E+11
04/06/2015,38750,3.39634E+11
05/06/2015,38350,3.39634E+11
08/06/2015,39150,3.39634E+11
09/06/2015,38850,3.39634E+11
10/06/2015,39950,3.39634E+11
11/06/2015,40000,3.39634E+11
12/06/2015,39050,3.39634E+11
15/06/2015,38150,3.39634E+11
16/06/2015,37300,3.39634E+11
17/06/2015,37200,3.39634E+11
18/06/2015,37050,3.39634E+11
19/06/2015,36150,3.39634E+11
22/06/2015,36500,3.39634E+11
23/06/2015,37550,3.39634E+11
24/06/2015,37850,3.39634E+11
25/06/2015,37300,3.39634E+11
26/06/2015,37700,3.39634E+11
29/06/2015,36900,3.39634E+11
30/06/2015,36900,3.39634E+11
01/07/2015,36800,4.07115E+11
02/07/2015,36200,4.07115E+11
03/07/2015,36200,4.07115E+11
06/07/2015,35500,4.07115E+11
07/07/2015,35950,4.07115E+11
08/07/2015,35400,4.07115E+11
09/07/2015,35450,4.07115E+11
10/07/2015,35600,4.07115E+11
13/07/2015,36250,4.07115E+11
14/07/2015,36550,4.07115E+11
15/07/2015,35150,4.07115E+11
16/07/2015,35400,4.07115E+11
17/07/2015,34700,4.07115E+11
20/07/2015,34650,4.07115E+11
21/07/2015,34950,4.07115E+11
22/07/2015,34800,4.07115E+11
23/07/2015,35050,4.07115E+11
24/07/2015,34250,4.07115E+11
27/07/2015,35600,4.07115E+11
28/07/2015,35750,4.07115E+11
29/07/2015,35700,4.07115E+11
30/07/2015,36650,4.07115E+11
31/07/2015,36800,4.07115E+11
03/08/2015,37000,4.07115E+11
04/08/2015,37800,4.07115E+11
05/08/2015,37100,4.07115E+11
06/08/2015,36900,4.07115E+11
07/08/2015,37150,4.07115E+11
10/08/2015,37800,4.07115E+11
11/08/2015,37850,4.07115E+11
12/08/2015,37700,4.07115E+11
